features,shap_importance
quick_ratio,0.19875722584998523
borrowing_dependency,0.1339423206925262
non-industry_income_and_expenditure/revenue,0.11670584023786978
persistent_eps_in_the_last_four_seasons,0.11375141797687949
roa(b)_before_interest_and_depreciation_after_tax,0.09528686591340768
net_worth/assets,0.0917204580722674
total_debt/total_net_worth,0.08109855809604641
per_share_net_profit_before_tax_(yuan_),0.0785649374268584
cash_flow_to_sales,0.07798009845892917
debt_ratio_%,0.07476043591635416
net_value_growth_rate,0.07022858277083752
continuous_interest_rate_(after_tax),0.06089868773718529
roa(c)_before_interest_and_depreciation_before_interest,0.05550714406222986
liability_to_equity,0.0516487657580088
operating_profit_per_share_(yuan_),0.048278390301479
cash/total_assets,0.04617569969894234
total_income/total_expense,0.04552661829995136
interest-bearing_debt_interest_rate,0.04548395746953303
pre-tax_net_interest_rate,0.045367101399963534
equity_to_liability,0.04236910799167825
net_income_to_total_assets,0.04178915171182633
current_liabilities/equity,0.04098957662198037
net_value_per_share_(c),0.040843824861444146
net_value_per_share_(a),0.04010951159180462
interest_expense_ratio,0.037149152605287755
net_value_per_share_(b),0.0363346144227882
retained_earnings_to_total_assets,0.034315105177174975
net_profit_before_tax/paid-in_capital,0.03422239056475608
after-tax_net_interest_rate,0.029024160120777628
degree_of_financial_leverage_(dfl),0.028886179119774813
quick_assets/current_liability,0.027944116795510943
roa(a)_before_interest_and_%_after_tax,0.026918644925678956
inventory/working_capital,0.024684453081288492
total_asset_return_growth_rate_ratio,0.024313339740067188
current_liability_to_current_assets,0.02409019380851423
average_collection_days,0.023173201280278822
total_asset_growth_rate,0.022452760453348625
interest_coverage_ratio_(interest_expense_to_ebit),0.022174150403936964
current_liabilities/liability,0.022090595631762994
long-term_fund_suitability_ratio_(a),0.021155717462456227
cash_flow_rate,0.02070621403689393
operating_profit_per_person,0.020577239363065283
inventory/current_liability,0.01728357021125848
operating_gross_margin,0.016735038810379556
cash_flow_to_liability,0.016376710819953753
revenue_per_share_(yuan_),0.015924926873913624
contingent_liabilities/net_worth,0.015251502903071356
operating_profit/paid-in_capital,0.015138545226636229
working_capital_to_total_assets,0.014990116462804732
quick_assets/total_assets,0.014747128015550623
cash_turnover_rate,0.01346786333965194
current_liability_to_liability,0.013249280616627876
operating_profit_growth_rate,0.01177244187049251
operating_profit_rate,0.011604058618159883
accounts_receivable_turnover,0.011495511007194389
gross_profit_to_sales,0.010698818712506088
allocation_rate_per_person,0.010292806324393543
working_capitcal_turnover_rate,0.01000919978082212
long-term_liability_to_current_assets,0.009815599817228918
net_income_to_stockholder's_equity,0.009762938538396203
working_capital/equity,0.008716007241844086
inventory_and_accounts_receivable/net_value,0.00852010489764827
current_liability_to_equity,0.007966040138320677
continuous_net_profit_growth_rate,0.007876535716525733
cash_flow_to_total_assets,0.007639913406870284
regular_net_profit_growth_rate,0.007491395160087512
total_assets_to_gnp_price,0.007184462056604309
fixed_assets_turnover_frequency,0.007136681708857535
total_asset_turnover,0.0070857647480921
net_worth_turnover_rate_(times),0.006875573402258082
realized_sales_gross_margin,0.0068332479100757315
after-tax_net_profit_growth_rate,0.0055155408652061136
current_assets/total_assets,0.005402585882920384
revenue_per_person,0.004997365948299406
cash/current_liability,0.004992063632783035
equity_to_long-term_liability,0.004918049123554731
operating_funds_to_liability,0.004210922579628265
cash_reinvestment_%,0.0035005583020556465
cash_flow_to_equity,0.0030886644566929934
cash_flow_per_share,0.0020151368402894043
inventory_turnover_rate_(times),0.0018339844817683512
realized_sales_gross_profit_growth_rate,0.0008651889792076949
quick_asset_turnover_rate,0.00040427068327886657
liability-assets_flag,0.00031668114888080853
operating_expense_rate,0.00022349725578791086
